bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,registration_year,insurance_validity,fuel_type,seats,rto,ownership,engine_displacement,year_of_manufacture,Features,mileage,engine,max_power,torque,dimensions,miscellaneous,wheel_size
Sedan,"1,02,407",Manual,1,1st Owner,Maruti,Maruti Ciaz,2018,5720,1.3 Alpha,₹ 7.96 Lakh,Jun 2018,Third Party,Diesel,5,KA63,First Owner,1248 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",28.09 kmpl,"White, DDIS Diesel Engine, 1248, 88.5bhp@4000rpm, 200Nm@1750rpm, 4, 4, DOHC, CRDI, 69.6 X 82mm, 10.1:1, Yes, No",88.5bhp,200Nm,"4490mm, 1730mm, 1485mm, 2650mm, 1495mm, 1505mm, 1135kg, 1595kg","5 Speed, FWD, 5, Power, 5.4 metres, Ventilated Disc, Drum, 190 kmph, 15 Seconds, Tubeless, Radial, 16, 4, 510-litres",16
Hatchback,"53,606",Manual,1,1st Owner,Hyundai,Hyundai i20,2015,1482,Asta 1.2,₹ 6.36 Lakh,Dec 2015,Zero Dep,Petrol,5,KA51,First Owner,1197 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",18.6 kmpl,"Red, Kappa VTVT Petrol Engine, 1197, 81.83bhp@6000rpm, 114.7Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",81.83bhp,114.7Nm,"3985mm, 1734mm, 1505mm, 2570mm, 1505mm, 1503mm, 1066kg","5 Speed, FWD, 5, Power, 5.2 metres, Disc, Drum, 170 Kmph, 13.2 Seconds, Tubeless, 16, 5, 295-litres",16
SUV,"90,000",Manual,1,1st Owner,Skoda,Skoda Yeti,2015,3227,Elegance 4X4,₹ 14 Lakh,2015,Third Party insurance,Diesel,5,KA03,First Owner,1968 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",17.67 kmpl,"Brown, Diesel Engine, 1968, 138.1bhp@4200rpm, 320Nm@1750-2500rpm, 4, 4, DOHC, Direct Injection , 81 x 95.5 mm, 16.5:1, Yes, No",138.1bhp,320Nm,"4222mm, 1793mm, 1691mm, 2578mm, 1539mm, 1537mm, 1543kg, 2075kg","6 Speed, AWD, 5, Power, 5.0 metres, Disc, Disc, 190 Kmph, 9.9 Seconds, Tubeless,Radial, 16, 5, 416-litres",16
Hatchback,"44,253",Manual,2,2nd Owner,Maruti,Maruti Baleno,2016,3969,1.2 Zeta,₹ 6.15 Lakh,Jan 2017,Comprehensive,Petrol,5,KA53,Second Owner,1197 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",21.4 kmpl,"Blue, VVT Petrol Engine, 1197, 83.1bhp@6000rpm, 115Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",83.1bhp,115Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1505mm, 1515mm, 880kg, 1340kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 180 Kmph, 12.36 seconds, Tubeless,Radial, 16, 5, 339-litres",16
Minivans,"40,000",Manual,1,1st Owner,Maruti,Maruti Eeco,2021,7706,CNG 5 Seater AC,₹ 5 Lakh,2021,Third Party insurance,CNG,5,,First Owner,1196 cc,2021.0,"Accessory Power Outlet, Rear Seat Headrest, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Child Safety Locks",20.88 km/kg,"Others, G12B, 1196, 61.68bhp@6000rpm, 85Nm@3000rpm, 4, 4",61.68bhp,85Nm,"3675, 1475, 1825, 2350, 1280, 1290, 1050","5 Speed, 5, Manual, 4.5, Disc, Drum, Tubeless, 5",
Hatchback,"34,702",Manual,1,1st Owner,Tata,Tata Tiago,2021,7377,XZ Plus BSVI,₹ 7.18 Lakh,Jun 2021,Third Party,Petrol,5,KA06,First Owner,1199 cc,2021.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",19.01 kmpl,"Red, 1.2 L Revotron, 1199, 84.82bhp@6000rpm, 113Nm@3300rpm, 3, 4",84.82bhp,113Nm,"3765mm, 1677, 1535, 2400, 982","5-Speed, 5, Electric, Disc, Drum, Tubeless, Radial, 15, 5",15
Hatchback,"42,762",Manual,1,1st Owner,Maruti,Maruti Swift,2012,10403,VXI,₹ 4.36 Lakh,Sept 2012,Third Party,Petrol,5,KA04,First Owner,1197 cc,2012.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",22.38 kmpl,"Silver, K Series Dual jet, 1197, 88.50bhp@6000rpm, 113Nm@4400rpm, 4, 4",88.50bhp,113Nm,"3845mm, 1735, 1530, 2450, 1530, 1530, 875-905, 1335","5-Speed, 5, Electric, 4.8, Disc, Drum, Radial, Tubeless, 5, 268",
Hatchback,"50,000",Manual,2,2nd Owner,Maruti,Maruti Alto K10,2015,3945,LXI,₹ 2.80 Lakh,2015,Third Party insurance,Petrol,5,,Second Owner,998 cc,2015.0,"Power Steering, Low Fuel Warning Light, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Child Safety Locks",23.95 kmpl,"Others, K Series Petrol Engine, 998, 67.05bhp@6000rpm, 90Nm@3500rpm, 3, 4, DOHC, MPFi, No, No",67.05bhp,90Nm,"3545mm, 1515mm, 1475mm, 2360mm, 1295mm, 1290mm, 774kg, 1210kg","5 Speed, FWD, 5, Power, 4.6 metres, Ventilated Disc, Drum, 145 Kmph, 13.3 Seconds, Tubeless,Radial, 5, 177",
MUV,"30,000",Automatic,1,1st Owner,Renault,Renault Triber,2022,6996,RXZ EASY-R AMT BSVI,₹ 7.80 Lakh,2022,Third Party insurance,Petrol,7,KA53,First Owner,999 cc,2022.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",18.2 kmpl,"Others, 999, 71.01bhp@6250rpm, 96Nm@3500rpm, 3, 4, MPFi",71.01bhp,96Nm,"3991mm, 1739, 1643, 1527, 1525, 947","5 Speed, 7, Electric, Disc, Drum, Tubeless, Radial, 5, 84",
SUV,"80,000",Automatic,2,2nd Owner,Mahindra,Mahindra XUV500,2016,3817,AT W8 1.99 mHawk,₹ 9 Lakh,2016,Third Party insurance,Diesel,7,UP16,Second Owner,1997 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",16 kmpl,"Others, mHawk Diesel Engine, 1997, 140bhp@3750rpm, 320Nm@1600-2800rpm, 4, 4, DOHC, Direct Injection, Yes, No",140bhp,320Nm,"4585mm, 1890mm, 1785mm, 2700mm, 2010, 2510kg","6 Speed, FWD, 7, Power, 5.6 metres, Disc, Disc, 185 Kmph, 10 Seconds, Tubeless,Radial, 17, 5, 720-litres",17
MUV,"20,000",Manual,1,1st Owner,Maruti,Maruti Ertiga,2022,8956,ZXI CNG,₹ 13 Lakh,2022,Third Party insurance,CNG,7,KA51,First Owner,1462 cc,2022.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",26.11 kmpl,"Others, K15C, 1462, 86.63bhp@5500rpm, 121.5Nm@4200rpm, 4, 4, 12.0+-.03",86.63bhp,121.5Nm,"4395mm, 1735, 1690, 2740, 1250-1255, 1820","5-Speed, 2WD, 7, 5.2, Disc, Drum, Tubeless, Radial, 15, 5",15
Sedan,"50,000",Manual,2,2nd Owner,Maruti,Maruti SX4,2014,4251,Green Vxi (CNG),₹ 3 Lakh,2014,Third Party insurance,CNG,5,,Second Owner,1586 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Rear, Centeral Locking, Power Door Locks, Cd Player",22.1 kmpl,"Gray, VVT Engine, 1586, 85.7bhp@5600rpm, 122Nm@4000rpm, 4, 4, DOHC, 78 X 83mm, No, No",85.7bhp,122Nm,"4500mm, 1735mm, 1550mm, 2500mm, 1500mm, 1495mm, 1275kg","5 Speed, FWD, 5, Power, 5.3 metres, Ventilated Disc, Drum, Tubeless,Radial, 15, 5, 504-litres ",15
Sedan,"28,000",Automatic,1,1st Owner,Jaguar,Jaguar XE,2019,5001,Portfolio,₹ 36.75 Lakh,Sept 2019,Comprehensive,Petrol,5,KA51,First Owner,1999 cc,2019.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",13.5 kmpl,"Black, Petrol Engine, 1999, 246.74bhp@5500rpm, 365@1200-4500rpm, 4, 4, DOHC, Yes, No",246.74bhp,365,"4795mm, 2075mm, 1416mm, 2835mm, 1650kg, 2150kg","8 Speed, RWD, 5, Power, Disc, Disc, 250 Kmph, 6.8 Seconds, Tubeless,Radial, 17, 4, 455",17
Sedan,"40,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2020,7077,VXI 1.2,₹ 6.70 Lakh,2020,Third Party insurance,Petrol,5,KA05,First Owner,1197 cc,2020.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",21.21 kmpl,"Others, K Series VVT Engine, 1197, 81.80bhp@6000rpm, 113Nm@4200rpm, 4, 4, DOHC, MPFI, No, No",81.80bhp,113Nm,"3995mm, 1735mm, 1515mm, 2450mm, 1530mm, 1520mm, 860-895Kg, 1315Kg","5 Speed, FWD, 5, Power, 4.8 metres, Disc, Drum, 12.6 Seconds, Tubeless,Radial, 4, 378",
Hatchback,"10,000",Manual,1,1st Owner,Maruti,Maruti Baleno,2020,6776,Alpha,₹ 9 Lakh,2020,Third Party insurance,Petrol,5,KA53,First Owner,1197 cc,2020.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",21.01 kmpl,"Others, 1.2L VVT Engine, 1197, 81.80bhp@6000rpm, 113Nm@4200rpm, 4, 4, DOHC, MPFI, No, No",81.80bhp,113Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1505mm, 1515mm, 865-890, 1340kg","5 Speed, FWD, 5, Electric, 4.9, Disc, Drum, 12.36 seconds, Tubeless,Radial, R16, 5, 339-litres",R16
Hatchback,"60,000",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,3969,1.2 Zeta,₹ 6 Lakh,2016,Third Party insurance,Petrol,5,KA05,First Owner,1197 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",21.4 kmpl,"Others, VVT Petrol Engine, 1197, 83.1bhp@6000rpm, 115Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",83.1bhp,115Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1505mm, 1515mm, 880kg, 1340kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 180 Kmph, 12.36 seconds, Tubeless,Radial, 16, 5, 339-litres",16
Hatchback,"1,10,000",Manual,4,4th Owner,Chevrolet,Chevrolet Spark,2008,593,1.0 LS,₹ 1.10 Lakh,2008,Third Party insurance,Petrol,5,KA01,Fourth Owner,995 cc,2008.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Power Door Locks, Child Safety Locks",18 kmpl,"Silver, In-Line Engine, 995, 62bhp@5400rpm, 90.3Nm@4200rpm, 4, 2, SOHC, SEFI, 68.5 x 67.5 mm, 9.3:1, No, No",62bhp,90.3Nm,"3495mm, 1495mm, 1518mm, 2345mm, 1315mm, 1280mm, 840kg","5 Speed, FWD, 5, Power, 4.6m, Disc, Self-Adjusting Drum, 161km/hr, 14.8 seconds, Tubeless,Radial, 13, 5, 170 litres",13
Hatchback,"57,459",Manual,1,1st Owner,Hyundai,Hyundai i20,2016,1483,Asta Option 1.2,₹ 6.05 Lakh,Jan 2017,Third Party insurance,Petrol,5,KA53,First Owner,1197 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",18.6 kmpl,"Red, Kappa VTVT Petrol Engine, 1197, 81.83bhp@6000rpm, 114.7Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",81.83bhp,114.7Nm,"3985mm, 1734mm, 1505mm, 2570mm, 1505mm, 1503mm, 1066kg","5 Speed, FWD, 5, Power, 5.2 metres, Disc, Drum, 170 Kmph, 13.2 Seconds, Tubeless, 16, 5, 295-litres",16
Hatchback,"70,381",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2017,5607,1.2 Kappa Asta,₹ 5.59 Lakh,Jan 2018,Zero Dep,Petrol,5,KA50,First Owner,1197 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",18.9 kmpl,"Red, Kappa VTVT Petrol Engine, 1197, 81.86bhp@6000rpm, 113.75nm@4000rpm, 4, 4, DOHC, MPFI, No, No",81.86bhp,113.75nm,"3765mm, 1660mm, 1520mm, 2425mm, 1479mm, 1493mm, 1060","5 Speed, FWD, 5, Power, 4.8 metres, Disc, Drum, 165 Kmph, 12.9 Seconds, Tubeless, 14, 5, 256",14
Hatchback,"90,000",Manual,3,3rd Owner,Volkswagen,Volkswagen Polo,2012,1966,IPL II 1.2 Diesel Highline,₹ 2.68 Lakh,2012,Third Party insurance,Diesel,5,KA51,Third Owner,1199 cc,2012.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Fog Lights Rear, Anti Lock Braking System, Centeral Locking, Cd Player",22.07 kmpl,"Black, In-Line Diesel Engine, 1199, 73.9bhp@4200rpm, 180Nm@2000rpm, 3, 4, CRDI, No, No",73.9bhp,180Nm,"3970mm, 1682mm, 1453mm, 2456mm, 1145kg","5 Speed, FWD, 5, Power, 4.97 metres, Disc, Drum, 164.1km/hr, 14.4 Seconds, Tubeless,Radial, 15, 5",15
Sedan,"80,648",Manual,1,1st Owner,Maruti,Maruti Ciaz,2020,7410,Alpha BSVI,₹ 7.80 Lakh,Jun 2020,Comprehensive,Petrol,5,KA27,First Owner,1462 cc,2020.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",20.65 kmpl,"White, K15 Smart Hybrid Petrol Engine, 1462, 103.25bhp@6000rpm, 138Nm@4400rpm, 4, 4, DOHC, 74 x 85",103.25bhp,138Nm,"4490, 1730, 1485, 2650, 1120, 1520","5 Speed, FWD, 5, Power, 5.4, Ventilated Disc, Drum, Tubeless, Radial, 16, 4, 510",16
SUV,"81,853",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2016,8179,1.6 VTVT SX Plus,₹ 8.64 Lakh,Aug 2016,Comprehensive,Petrol,5,KA01,Second Owner,1591 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",13 kmpl,"White, VTVT Petrol Engine, 1591, 121.3bhp@6400rpm, 151Nm@4850rpm, 4, 4, DOHC, MPFi, No, No",121.3bhp,151Nm,"4270mm, 1780mm, 1630mm, 2590mm, 1280","6 Speed, FWD, 5, Power, 5.3 metres, Disc, Drum, Tubeless, 17, 5, 400-litres",17
Hatchback,"40,000",Manual,1,1st Owner,Hyundai,Hyundai Santro Xing,2009,1711,GLS,₹ 2.40 Lakh,2009,Third Party insurance,Petrol,5,KA53,First Owner,1086 cc,2009.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",17.92 kmpl,"Others, Petrol Engine , 1086, 62.1bhp@5500rpm, 96.1Nm@3000rpm, 3, 4, SOHC, MPFI, No, No",62.1bhp,96.1Nm,"3565mm, 1525mm, 1590mm, 2380mm, 1315mm, 1300mm, 825","5 Speed, FWD, 5, Power, 4.4 meters, Ventilated Disc, Drum, Tubeless,Radial, 13, 5",13
Hatchback,"90,802",Manual,1,1st Owner,Honda,Honda Brio,2012,1203,S MT,₹ 3.41 Lakh,May 2012,Comprehensive,Petrol,5,KA25,First Owner,1198 cc,2012.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Radio",19.4 kmpl,"Red, i-VTEC Engine, 1198, 86.8bhp@6000rpm, 109Nm@4500rpm, 4, 4, SOHC, PGM - Fi, No, No",86.8bhp,109Nm,"3610mm, 1680mm, 1500mm, 2345mm, 1480mm, 1465mm, 925kg","5 Speed, FWD, 5, Power, 4.5 metres, Disc, Drum, Tubeless,Radial, 5, 175-litres",
Hatchback,"40,000",Manual,1,1st Owner,Hyundai,Hyundai Santro Xing,2009,1711,GLS,₹ 2.40 Lakh,2009,Third Party insurance,Petrol,5,KA53,First Owner,1086 cc,2009.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",17.92 kmpl,"Others, Petrol Engine , 1086, 62.1bhp@5500rpm, 96.1Nm@3000rpm, 3, 4, SOHC, MPFI, No, No",62.1bhp,96.1Nm,"3565mm, 1525mm, 1590mm, 2380mm, 1315mm, 1300mm, 825","5 Speed, FWD, 5, Power, 4.4 meters, Ventilated Disc, Drum, Tubeless,Radial, 13, 5",13
Hatchback,"16,502",Manual,1,1st Owner,Hyundai,Hyundai Santro,2021,7457,Magna,₹ 5.13 Lakh,Sept 2021,Zero Dep,Petrol,5,KA14,First Owner,1086 cc,2021.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",20.3 kmpl,"White, 1.1 L Petrol, 1086, 68.05bhp@5500rpm, 99Nm@4500 rpm, 4, 3, SOHC, MPFI, No, No",68.05bhp,99Nm,"3610 mm, 1645 mm, 1560 mm, 2400 mm, 1476, 1494, 1010","5 Speed, FWD, 5, Electric, Disc, Drum, Tubeless,Radial, 5, 235",
Hatchback,"31,530",Manual,1,1st Owner,Maruti,Maruti Ignis,2021,5556,1.2 Alpha BSIV,₹ 6.61 Lakh,Aug 2021,Third Party,Petrol,5,KA63,First Owner,1197 cc,2021.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",20.89 kmpl,"Silver, 1.2-Litre VVT Petrol Engine, 1197, 81.80bhp@6000rpm, 113Nm@4200rpm, 4, 4, SOHC, MPFI, No, No",81.80bhp,113Nm,"3700mm, 1690mm, 1595mm, 2435mm, 825","5 Speed, FWD, 5, Electrical, 4.7 m, Disc, Drum, Tubeless,Radial, 15, 5, 260-litres",15
MUV,"1,20,000",Manual,2,2nd Owner,Maruti,Maruti Ertiga,2017,4045,SHVS ZDI Plus,₹ 8 Lakh,2017,Third Party insurance,Diesel,7,,Second Owner,1248 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",24.52 kmpl,"Others, D13A SHVS Engine, 1248, 88.5bhp@4000rpm, 200Nm@1750rpm, 4, 4, DOHC, CRDI, 69.6 X 82 mm, 17.6:1, Yes, No",88.5bhp,200Nm,"4296mm, 1695mm, 1685mm, 2740mm, 1480mm, 1490mm, 1265kg","5 Speed, FWD, 7, Power, 5.2 metres, Ventilated Disc, Drum, 160 kmph, 13.3 Seconds, Tubeless, Radial, 15, 5, 135-liters",15
Hatchback,"80,000",Manual,2,2nd Owner,Maruti,Maruti Swift,2015,4164,VDI BSIV,₹ 5.20 Lakh,2015,Third Party insurance,Diesel,5,KA04,Second Owner,1248 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",25.2 kmpl,"Others, DDiS Diesel Engine, 1248, 74bhp@4000rpm, 190Nm@2000rpm, 4, 4, DOHC, CRDI, 69.6 X 82 mm, 17.6:1, Yes, No",74bhp,190Nm,"3840mm, 1735mm, 1530mm, 2450mm, 960Kg, 1405kg","5 Speed, FWD, 5, Power, 4.8 metres, Ventilated Disc, Drum, 155 Kmph, 14.8 Seconds, Tubeless Tyres, 5, 204-liters",
Sedan,"71,086",Automatic,1,1st Owner,Honda,Honda City,2014,1214,i VTEC CVT SV,₹ 6 Lakh,Oct 2014,Comprehensive,Petrol,5,KA03,First Owner,1497 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",18 kmpl,"TITANIUM GREY, i VTEC Engine, 1497, 117.3bhp@6600rpm, 145Nm@4600rpm, 4, 4, SOHC, PGM-Fi, 73.0 X 89.4 mm, 10.3:1, No, No",117.3bhp,145Nm,"4440mm, 1695mm, 1495mm, 2600mm, 1480mm, 1465mm, 1065kg","5 Speed CVT, FWD, 5, Power, 5.3 metres, Disc, Drum, 195 Kmph, 10 Seconds, Tubeless,Radial, 4, 510-litres",
Hatchback,"1,10,000",Manual,2,2nd Owner,Maruti,Maruti Ritz,2011,4152,VDi,₹ 3 Lakh,2011,Third Party insurance,Diesel,5,,Second Owner,1248 cc,2011.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Fog Lights Rear, Anti Lock Braking System, Brake Assist",21.1 kmpl,"Others, In-Line Engine, 1248, 73.9bhp@4000rpm, 113Nm@4500rpm, 4, 4, DOHC , CRDI, 69.9X82 mm, 17.6:1, No, No",73.9bhp,113Nm,"3715mm, 1680mm, 1620mm, 2360mm, 1100kg, 1520kg","5-Speed, FWD, 5, Power, 4.7m, Ventilated Disc, Drum, 156km/hr, 14.2, Tubeless,Radial, 14, 5, 232 litres",14
SUV,"50,000",Automatic,1,1st Owner,Ford,Ford Endeavour,2020,916,3.2 Titanium AT 4X4,₹ 37.50 Lakh,Jul 2020,Comprehensive,Diesel,7,KA51,First Owner,3198 cc,2020.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",10.91 kmpl,"Golden, Diesel Engine, 3198, 197bhp@3000rpm, 470Nm@1750-2500rpm, 4, 4, DOHC, TDCi, Yes, No",197bhp,470Nm,"4892mm, 1860mm, 1837mm, 2850mm, 1475mm, 1470mm, 1879kg","6 Speed, 4WD, 7, Power, Disc, Disc, 160.2 kmph, 10.86 Seconds, Tubeless,Radial, 18, 5",18
Hatchback,"18,000",Automatic,1,1st Owner,Hyundai,Hyundai i20 N Line,2021,8584,N8 DCT BSVI,₹ 12.95 Lakh,Jul 2021,Comprehensive,Petrol,5,KA51,First Owner,998 cc,2021.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",20.25 kmpl,"White, 1.0 Turbo GDI, 998, 118.41bhp@6000rpm, 172Nm@1500-4000rpm, 3, 4, Yes",118.41bhp,172Nm,"3995mm, 1775mm, 1505mm, 2580mm, 1210","7 Speed, 5, Electric, Disc, Disc, Tubeless,Radial, 16, 5",16
Sedan,"60,000",Manual,2,2nd Owner,Honda,Honda City,2014,1275,i VTEC SV,₹ 6.30 Lakh,2014,Third Party insurance,Petrol,5,KA03,Second Owner,1497 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",17.4 kmpl,"Others, i VTEC Engine, 1497, 117.3bhp@6600rpm, 145Nm@4600rpm, 4, 4, SOHC, PGM-Fi, 73.0 X 89.4 mm, 10.3:1, No, No",117.3bhp,145Nm,"4440mm, 1695mm, 1495mm, 2600mm, 1480mm, 1465mm, 1042kg","5 Speed , FWD, 5, Power, 5.3 metres, Disc, Drum, 195 Kmph, 10 Seconds, Tubeless,Radial, 4, 510-litres",
MUV,"1,20,000",Manual,3,3rd Owner,Chevrolet,Chevrolet Tavera,2016,5788,Neo 3 Base 10 Str,₹ 4.75 Lakh,2016,Third Party insurance,Diesel,10,KA32,Third Owner,2499 cc,2016.0,"Remote Fuel Lid Opener, Low Fuel Warning Light, Heater, Fabric Upholstery, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Passenger Side Rear View Mirror",13.58 kmpl,"White, TCDi Diesel Engine, 2499, 72.4bhp@3900rpm, 171Nm@1800rpm, 4, 4, DOHC, Direct Injection, Yes, No",72.4bhp,171Nm,"4435mm, 1680mm, 1765mm, 2685mm, 1660kg","5 Speed, FWD, 10, Manual, 5.6 meters, Disc, Drum, 140 Kmph, 20 Seconds, Tubeless,Radial, 5, 195-litres",
Hatchback,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai i10,2011,1570,Sportz,₹ 2.75 Lakh,2011,Third Party insurance,Petrol,5,KA02,Second Owner,1197 cc,2011.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Day Night Rear View Mirror, Cd Player",20.36 kmpl,"Others, DOHC Kappa2 Engine, 1197, 78.9bhp@6000rpm, 111.8Nm@4000rpm, 4, 4, DOHC, MPFI, 71 x 75.6 mm, 10.5:1, No, No",78.9bhp,111.8Nm,"3585mm, 1595mm, 1550mm, 2380mm, 1400mm, 1385mm, 960","5 Speed, FWD, 5, Power, Ventilated Disc, Drum, Tubeless,Radial, 13, 4",13
Hatchback,"25,000",Automatic,4,4th Owner,Honda,Honda Jazz,2016,1340,1.2 V AT i VTEC,₹ 5.75 Lakh,Jul 2016,Comprehensive,Petrol,5,KA51,Fourth Owner,1199 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",19 kmpl,"Silver, i-VTEC Petrol Engine, 1199, 88.7bhp@6000rpm, 110Nm@4800rpm, 4, 4, SOHC, PGM - Fi, No, No",88.7bhp,110Nm,"3955mm, 1694mm, 1544mm, 2530mm, 1066kg","5 Speed, FWD, 5, Power, 5.1 meters, Disc, Drum, 172 Kmph, 13.7 Seconds, Tubeless,Radial, 15, 5, 354-litres",15
